time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.64082464509e-07,4.72114805335e-07,0.169973377825,0.000122863445544,9.76683319616e-05,0.0,-3.40196938996e-05,4.35008832693e-05,2.33080424038,0.00585780761275,0.00469982664472,0.0,899.966696569,900.156839836,899.949009436,900.186000894
0.12000000000000001,-1.52332669141e-05,1.98213881468e-05,0.379149229357,0.000584687487071,0.000311277642393,0.0,-0.000567119142604,0.000775104505904,4.63542927531,0.0111431481734,0.00117707863722,0.0,900.110033702,899.967396837,900.194575101,900.40825915
0.18,-7.69030110766e-05,0.000127393453452,0.725015748157,0.00141679908183,0.000365671799629,0.0,-0.00151128624358,0.00311898944623,6.88281207181,0.0188274497044,0.000359898630965,0.0,900.033647587,900.000553285,900.200433878,900.511106242
0.23999999999999996,-0.000198161294221,0.000450633284169,1.20329090862,0.0028649856619,0.000357512482119,0.0,-0.00252814811701,0.00816095146366,9.04522658941,0.0330648472044,-0.00114684968151,0.0,900.045213206,899.984229496,900.084131184,900.659931127
0.3,-0.00037714401879,0.00119806527198,1.80814752904,0.00491504739009,0.000190868222187,0.0,-0.00338709915824,0.0174808315254,11.0990573415,0.0362866093879,-0.00625658612251,0.0,900.117968425,899.911194261,900.301157882,900.431351462
0.36000000000000004,-0.000589515279258,0.00265102451299,2.53250818496,0.00710874259125,6.28293200461,0.0,-0.0035385259208,0.0316526009332,13.0263358516,0.037105866881,-0.00980026439991,0.0,900.456819483,900.313569553,900.157344038,900.19036977
0.4200000000000001,-0.000775687483071,0.00509040716092,3.36835254261,0.00932258865323,6.28223475903,0.0,-0.00245205701098,0.0502720499325,14.8136345504,0.0364773452452,-0.0155361892653,0.0,900.557449127,900.325546258,900.231865912,900.206298644
0.48000000000000015,-0.000846987770959,0.00876222056258,4.30700910715,0.0113544419636,6.28101921584,0.0,0.000393266617733,0.0725957516523,16.4526466742,0.0280463293921,-0.0319496698898,0.0,900.596395925,899.932305953,900.504170618,900.162779332
0.5400000000000001,-0.000664899944351,0.013851360741,5.3394754438,0.0128929164594,6.27891342973,0.0,0.00622852141585,0.0972726480344,17.9405604995,0.0203359033879,-0.04227795958,0.0,900.424211283,900.006279322,900.458582345,900.146256919
0.6000000000000002,-1.46618712696e-05,0.0204533814382,6.45670762895,0.013847768017,6.27628306153,0.0,0.0160695573077,0.122820598704,19.2786936628,0.00514809622374,-0.0471604569322,0.0,900.218469991,900.020786833,900.545968677,899.930943391
0.6600000000000003,0.00134998264112,0.0285738778041,7.6498755874,0.0140102712097,6.27349605639,0.0,0.0299940715181,0.147635915103,20.4727154286,-0.00268289219537,-0.0450662210788,0.0,900.117247098,900.201955271,900.382992808,900.065922673
0.7200000000000003,0.00365710971935,0.03812956567,8.91053772711,0.0136321247164,6.27062084581,0.0,0.0473771373099,0.170552596918,21.5297961931,-0.0147574887938,-0.0543438430628,0.0,900.206904139,899.831097285,900.482089697,899.993398685
0.7800000000000004,0.00710400660795,0.048982864032,10.2307524391,0.0124835169385,6.26713093303,0.0,0.0680221589403,0.190760740384,22.459311092,-0.0298015019046,-0.0671775931497,0.0,900.204019766,899.683791892,900.446705429,899.837834905
0.8400000000000004,0.0118959458539,0.0609455310851,11.603203298,0.0103917582412,6.2629203547,0.0,0.0922662493561,0.207404011591,23.272607872,-0.0476330347636,-0.0769699174666,0.0,900.226363404,899.828787042,900.487408457,899.765532893
0.9000000000000005,0.0182560349432,0.07377819339,13.0212457831,0.00717366549629,6.25802657865,0.0,0.120306901407,0.219636669486,23.9806717472,-0.0696873764232,-0.092842723416,0.0,900.429240177,899.78476919,900.561033311,899.667639361
0.9600000000000005,0.0264183705765,0.0871902013024,14.4788808361,0.00255804878705,6.25218961507,0.0,0.152401571266,0.226579776526,24.5939884999,-0.098144758465,-0.108094135306,0.0,900.375557426,899.755046963,900.629950753,899.475977948
1.0200000000000005,0.0366365744191,0.100833818703,15.9707473299,6.27954142874,6.24532523647,0.0,0.188880171989,0.227191536998,25.1232861291,-0.116652004654,-0.131635798928,0.0,900.487644067,899.529662802,900.362870299,899.609879771
1.0800000000000005,0.0491872270618,0.114304619831,17.4921152477,6.27230520261,6.23705700045,0.0,0.230250380339,0.220770299907,25.5788475279,-0.129979583683,-0.154468677447,0.0,900.438550563,899.506550487,900.171052281,899.626127661
1.1400000000000006,0.0643826115879,0.1271740422,19.038862351,6.26421731967,6.22777072903,0.0,0.277095466798,0.207133898886,25.9706190553,-0.146774002283,-0.155382450435,0.0,899.945651112,899.899307463,900.275933156,899.588926388
1.2000000000000006,0.0825508067634,0.139003641834,20.6074369464,6.2553147281,6.21843485011,0.0,0.329249523342,0.186069373088,26.3076451947,-0.151787222327,-0.15603204453,0.0,900.059604203,900.023846661,900.008396996,899.796892743
1.2600000000000007,0.103992041145,0.149346234402,22.194776767,6.24616299259,6.20898118456,0.0,0.386128709954,0.157605968733,26.5972155757,-0.154053359261,-0.16080517936,0.0,900.104616128,899.901552471,899.935419377,899.834612712
1.3200000000000007,0.12898063707,0.157765466452,23.7982654373,6.2370913162,6.19942497644,0.0,0.447457850341,0.122010857403,26.8468843214,-0.146020969545,-0.156367775087,0.0,899.946575999,900.1162933,899.848454398,900.164926522
1.3800000000000008,0.157770695326,0.163850185072,25.4156599802,6.22862800187,6.19003327856,0.0,0.512778268166,0.0799029337012,27.0615633992,-0.132628085941,-0.156850901968,0.0,899.872953481,899.843795864,899.752250207,900.287147283
